image,text
3679502342_7fe6ef8a36.jpg,A man looking at a sad homeless man whose clothes are torn on the street .
537479916_c033897fac.jpg,A black dog finishes running down a blue and orange ramp .
2471974379_a4a4d2b389.jpg,A group of motorcycles wearing black .
1479513774_70c94cf9d3.jpg,A woman in a green jacket is pushing the button to cross the street .
2462153092_e3f4d8f6a2.jpg,Girl running through a field with a brown dog and a white dog .
3415228562_4efa9c9b70.jpg,a woman wearing a blue dress walking by a group of staring guys
3527184455_1a9c074ff2.jpg,Two adults and two children pose on a park bench .
246055693_ccb69ac5c6.jpg,A blond dog runs down a flight of stairs to the backyard .
2337377811_8c81b40a64.jpg,Little girl in blue coat and pink hat makes tracks in the snow .
1358089136_976e3d2e30.jpg,A young man in shorts and t-shirt is snowboarding under a bright blue sky .
